player_id,salary,season,season_end,season_start,team
riverau01,11825000,2017-18,2018,2017,Los Angeles Clippers
roberan03,1110840,2013-14,2014,2013,Oklahoma City Thunder
roberan03,1160880,2014-15,2015,2014,Oklahoma City Thunder
roberan03,1210800,2015-16,2016,2015,Oklahoma City Thunder
roberan03,2183072,2016-17,2017,2016,Oklahoma City Thunder
roberan03,9259259,2017-18,2018,2017,Oklahoma City Thunder
roberbr01,788872,2013-14,2014,2013,New Orleans Pelicans
roberbr01,2732000,2014-15,2015,2014,Charlotte Hornets
roberbr01,2854940,2015-16,2016,2015,Portland Trail Blazers
roberbr01,1050961,2016-17,2017,2016,Charlotte Hornets
robingl02,507336,2014-15,2015,2014,Philadelphia 76ers
robingl02,845000,2015-16,2016,2015,Indiana Pacers
robingl02,1050500,2016-17,2017,2016,Indiana Pacers
robingl02,1524305,2017-18,2018,2017,Indiana Pacers
robinna01,2016000,2013-14,2014,2013,Denver Nuggets
robinna01,2106720,2014-15,2015,2014,Boston Celtics
robinna01,154918,2014-15,2015,2014,Los Angeles Clippers
robinna01,44000,2015-16,2016,2015,New Orleans Pelicans
robinth01,3526440,2013-14,2014,2013,Portland Trail Blazers
robinth01,3678360,2014-15,2015,2014,Philadelphia 76ers
robinth01,981300,2015-16,2016,2015,Brooklyn Nets
robinth01,1050961,2016-17,2017,2016,Los Angeles Lakers
rodrise01,8000000,2016-17,2017,2016,Philadelphia 76ers
rondora01,11954545,2013-14,2014,2013,Boston Celtics
rondora01,12909091,2014-15,2015,2014,Dallas Mavericks
rondora01,9500000,2015-16,2016,2015,Sacramento Kings
rondora01,14000000,2016-17,2017,2016,Chicago Bulls
rondora01,3300000,2017-18,2018,2017,New Orleans Pelicans
rondora01,3000000,2017-18,2018,2017,Chicago Bulls
rosede01,17632688,2013-14,2014,2013,Chicago Bulls
rosede01,18862875,2014-15,2015,2014,Chicago Bulls
rosede01,20093063,2015-16,2016,2015,Chicago Bulls
rosede01,21323250,2016-17,2017,2016,New York Knicks
rosede01,1356709,2017-18,2018,2017,Cleveland Cavaliers
rosede01,749761,2017-18,2018,2017,Utah Jazz
rosede01,290951,2017-18,2018,2017,Minnesota Timberwolves
